Месец,Број/Површина ( во m2 ),"Видови објекти од високоградба, број/површина ( во m2 )",value
2016M06,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,618
2016M06,Површина ( во m2 ),125 Индустриски згради и складишта,13873
2016M06,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",2644
2016M06,Површина ( во m2 ),127 Други нестанбени згради,194
2016M07,Површина ( во m2 ),11 Станови во станбени објекти (згради),58253
2016M07,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,16801
2016M07,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,41452
2016M07,Површина ( во m2 ),12 Нестанбени згради,45482
2016M07,Површина ( во m2 ),121 Хотели и слични згради,3167
2016M07,Површина ( во m2 ),122 Деловни згради,3277
2016M07,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,17045
2016M07,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,4656
2016M07,Површина ( во m2 ),125 Индустриски згради и складишта,12746
2016M07,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",3771
2016M07,Површина ( во m2 ),127 Други нестанбени згради,820
2016M08,Површина ( во m2 ),11 Станови во станбени објекти (згради),27426
2016M08,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,16767
2016M08,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,10659
2016M08,Површина ( во m2 ),12 Нестанбени згради,46551
2016M08,Површина ( во m2 ),121 Хотели и слични згради,1098
2016M08,Површина ( во m2 ),122 Деловни згради,1416
2016M08,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,4884
2016M08,Површина ( во m2 ),125 Индустриски згради и складишта,37995
2016M08,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",254
2016M08,Површина ( во m2 ),127 Други нестанбени згради,904
2016M09,Површина ( во m2 ),11 Станови во станбени објекти (згради),78143
2016M09,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,16180
2016M09,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,61963
2016M09,Површина ( во m2 ),12 Нестанбени згради,46059
2016M09,Површина ( во m2 ),121 Хотели и слични згради,1475
2016M09,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,16403
2016M09,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,103
2016M09,Површина ( во m2 ),125 Индустриски згради и складишта,21755
2016M09,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",2964
2016M09,Површина ( во m2 ),127 Други нестанбени згради,3359
