Месец,Број/Површина ( во m2 ),"Видови објекти од високоградба, број/површина ( во m2 )",value
2011М03,Површина ( во m2 ),11 Станови во станбени објекти (згради),38201
2011М03,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,4922
2011М03,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,33279
2011М03,Површина ( во m2 ),12 Нестанбени згради,28769
2011М03,Површина ( во m2 ),122 Деловни згради,178
2011М03,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,8129
2011М03,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,13635
2011М03,Површина ( во m2 ),125 Индустриски згради и складишта,4153
2011М03,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",2366
2011М03,Површина ( во m2 ),127 Други нестанбени згради,308
2011М04,Површина ( во m2 ),11 Станови во станбени објекти (згради),30671
2011М04,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,7069
2011М04,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,23602
2011М04,Површина ( во m2 ),12 Нестанбени згради,10670
2011М04,Површина ( во m2 ),121 Хотели и слични згради,706
2011М04,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,5300
2011М04,Површина ( во m2 ),125 Индустриски згради и складишта,2181
2011М04,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",2075
2011М04,Површина ( во m2 ),127 Други нестанбени згради,408
2011М05,Површина ( во m2 ),11 Станови во станбени објекти (згради),58600
2011М05,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,7758
2011М05,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,50842
2011М05,Површина ( во m2 ),12 Нестанбени згради,59964
2011М05,Површина ( во m2 ),121 Хотели и слични згради,14248
2011М05,Површина ( во m2 ),122 Деловни згради,443
2011М05,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,9914
2011М05,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,8618
2011М05,Површина ( во m2 ),125 Индустриски згради и складишта,10786
2011М05,Површина ( во m2 ),127 Други нестанбени згради,15955
2011М06,Површина ( во m2 ),11 Станови во станбени објекти (згради),48394
2011М06,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,7877
2011М06,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,40517
2011М06,Површина ( во m2 ),12 Нестанбени згради,28750
2011М06,Површина ( во m2 ),121 Хотели и слични згради,12456
2011М06,Површина ( во m2 ),122 Деловни згради,280
2011М06,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,2351
2011М06,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,67
2011М06,Површина ( во m2 ),125 Индустриски згради и складишта,11348
2011М06,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",2114
2011М06,Површина ( во m2 ),127 Други нестанбени згради,134
2011М07,Површина ( во m2 ),11 Станови во станбени објекти (згради),54274
2011М07,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,6555
2011М07,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,47719
2011М07,Површина ( во m2 ),12 Нестанбени згради,38369
2011М07,Површина ( во m2 ),122 Деловни згради,12591
2011М07,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,2566
2011М07,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,35
2011М07,Површина ( во m2 ),125 Индустриски згради и складишта,13931
2011М07,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",8527
2011М07,Површина ( во m2 ),127 Други нестанбени згради,719
2011М08,Површина ( во m2 ),11 Станови во станбени објекти (згради),47108
2011М08,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,8852
2011М08,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,38256
2011М08,Површина ( во m2 ),12 Нестанбени згради,33896
2011М08,Површина ( во m2 ),121 Хотели и слични згради,693
2011М08,Површина ( во m2 ),122 Деловни згради,3225
2011М08,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,15877
2011М08,Површина ( во m2 ),125 Индустриски згради и складишта,12140
2011М08,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",1853
2011М08,Површина ( во m2 ),127 Други нестанбени згради,108
2011М09,Површина ( во m2 ),11 Станови во станбени објекти (згради),53221
